(VT("/net22") - VT("/net30")) (modelFiles=nom) X,(VT("/net22") - VT("/net30")) (modelFiles=nom) Y,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:fs) X,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:fs) Y,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:sf) X,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:sf) Y,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:ff) X,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:ff) Y,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:ss) X,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:ss) Y
1.833000000000001e-06,0.0004911233520810132,1.833000000000001e-06,0.0004911233520810132,1.833000000000001e-06,0.0004911233520810132,1.833000000000001e-06,0.000491760897641802,1.833000000000001e-06,0.0004904130987699595
1.893000000000001e-06,0.0004922347175750907,1.893000000000001e-06,0.0004922347175750907,1.893000000000001e-06,0.0004922347175750907,1.893000000000001e-06,0.0004928103394346017,1.893000000000001e-06,0.0004915917508196976
1.953000000000001e-06,0.0004931951931177458,1.953000000000001e-06,0.0004931951931177458,1.953000000000001e-06,0.0004931951931177458,1.953000000000001e-06,0.0004937140979885957,1.953000000000001e-06,0.0004926140452012895
2.013000000000001e-06,0.0004940471487717701,2.013000000000001e-06,0.0004940471487717701,2.013000000000001e-06,0.0004940471487717701,2.013000000000001e-06,0.000494514714678207,2.013000000000001e-06,0.0004935220930173401
2.073000000000001e-06,0.0004947819529885766,2.073000000000001e-06,0.0004947819529885766,2.073000000000001e-06,0.0004947819529885766,2.073000000000001e-06,0.0004952026003866017,2.073000000000001e-06,0.0004943083182349373
2.133000000000001e-06,0.0004954350723163081,2.133000000000001e-06,0.0004954350723163081,2.133000000000001e-06,0.0004954350723163081,2.133000000000001e-06,0.0004958134249608559,2.133000000000001e-06,0.0004950078991563522
2.193000000000001e-06,0.0004959972179225947,2.193000000000001e-06,0.0004959972179225947,2.193000000000001e-06,0.0004959972179225947,2.193000000000001e-06,0.0004963369790300654,2.193000000000001e-06,0.0004956125702533232
2.253000000000001e-06,0.0004964979040447126,2.253000000000001e-06,0.0004964979040447126,2.253000000000001e-06,0.0004964979040447126,2.253000000000001e-06,0.0004968030105700905,2.253000000000001e-06,0.0004961515300676567
2.313000000000001e-06,0.0004969279754509781,2.313000000000001e-06,0.0004969279754509781,2.313000000000001e-06,0.0004969279754509781,2.313000000000001e-06,0.0004972014956750037,2.313000000000001e-06,0.0004966165954645163
2.373e-06,0.0004973117775617375,2.373e-06,0.0004973117775617375,2.373e-06,0.0004973117775617375,2.373e-06,0.0004975570375689298,2.373e-06,0.000497031775730683
2.433e-06,0.0004976408423449374,2.433e-06,0.0004976408423449374,2.433e-06,0.0004976408423449374,2.433e-06,0.0004978603601981657,2.433e-06,0.0004973895125011119
2.493e-06,0.0004979350002374261,2.493e-06,0.0004979350002374261,2.493e-06,0.0004979350002374261,2.493e-06,0.0004981315679004616,2.493e-06,0.0004977092881131018
2.553e-06,0.0004981868357567532,2.553e-06,0.0004981868357567532,2.553e-06,0.0004981868357567532,2.553e-06,0.0004983625032086714,2.553e-06,0.00049798452617833
2.613e-06,0.0004984122233653299,2.613e-06,0.0004984122233653299,2.613e-06,0.0004984122233653299,2.613e-06,0.0004985693212737896,2.613e-06,0.000498230751240003
2.673e-06,0.0004986050258639629,2.673e-06,0.0004986050258639629,2.673e-06,0.0004986050258639629,2.673e-06,0.0004987452113400792,2.673e-06,0.0004984425909553281
2.732999999999999e-06,0.0004987776440894542,2.732999999999999e-06,0.0004987776440894542,2.732999999999999e-06,0.0004987776440894542,2.732999999999999e-06,0.0004989028533091133,2.732999999999999e-06,0.0004986321032336427
2.792999999999999e-06,0.0004989253338982813,2.792999999999999e-06,0.0004989253338982813,2.792999999999999e-06,0.0004989253338982813,2.792999999999999e-06,0.0004990368987940474,2.792999999999999e-06,0.0004987952319626121
2.852999999999999e-06,0.0004990574492138578,2.852999999999999e-06,0.0004990574492138578,2.852999999999999e-06,0.0004990574492138578,2.852999999999999e-06,0.0004991569707790688,2.852999999999999e-06,0.0004989410042908204
2.912999999999999e-06,0.0004991706746257929,2.912999999999999e-06,0.0004991706746257929,2.912999999999999e-06,0.0004991706746257929,2.912999999999999e-06,0.0004992592182626598,2.912999999999999e-06,0.0004990667162207973
2.9565e-06,0.0004992453935839247,2.9565e-06,0.0004992453935839247,2.9565e-06,0.0004992453935839247,2.9565e-06,0.0004993268538384665,2.9565e-06,0.000499149506872687
3e-06,0.0004993118557712339,3e-06,0.0004993118557712339,3e-06,0.0004993118557712339,3e-06,0.0004993866170659444,3e-06,0.000499223620328948
