output noise; V / sqrt(Hz) (modelFiles=nom) X,output noise; V / sqrt(Hz) (modelFiles=nom) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:fs) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:fs) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:sf) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:sf) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ff) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ff) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ss) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ss) Y
13803842.64602886,1.494802465760651e-09,13803842.64602886,1.494802465760651e-09,13803842.64602886,1.494802465760651e-09,13803842.64602886,1.476867769918575e-09,13803842.64602886,1.512856972895828e-09
22908676.52767774,1.479573003740516e-09,22908676.52767774,1.479573003740516e-09,22908676.52767774,1.479573003740516e-09,22908676.52767774,1.462334542343569e-09,22908676.52767774,1.496902872147471e-09
38018939.63205615,1.452859220507006e-09,38018939.63205615,1.452859220507006e-09,38018939.63205615,1.452859220507006e-09,38018939.63205615,1.437043937511963e-09,38018939.63205615,1.468692556752814e-09
63095734.44801937,1.396794358878013e-09,63095734.44801937,1.396794358878013e-09,63095734.44801937,1.396794358878013e-09,63095734.44801937,1.38415935644249e-09,63095734.44801937,1.409287200739333e-09
104712854.80509,1.277774828824489e-09,104712854.80509,1.277774828824489e-09,104712854.80509,1.277774828824489e-09,104712854.80509,1.271085857729029e-09,104712854.80509,1.28412525004233e-09
173780082.8749377,1.071104993204205e-09,173780082.8749377,1.071104993204205e-09,173780082.8749377,1.071104993204205e-09,173780082.8749377,1.071635063378959e-09,173780082.8749377,1.070239064073409e-09
288403150.3126608,8.069930749604606e-10,288403150.3126608,8.069930749604606e-10,288403150.3126608,8.069930749604606e-10,288403150.3126608,8.119218718830624e-10,288403150.3126608,8.019534042083346e-10
478630092.3226386,5.531409346768931e-10,478630092.3226386,5.531409346768931e-10,478630092.3226386,5.531409346768931e-10,478630092.3226386,5.58591990909203e-10,478630092.3226386,5.477410505238497e-10
794328234.724282,3.551637787866577e-10,794328234.724282,3.551637787866577e-10,794328234.724282,3.551637787866577e-10,794328234.724282,3.593439664558374e-10,794328234.724282,3.510691612852036e-10
1318256738.556408,2.202917827776375e-10,1318256738.556408,2.202917827776375e-10,1318256738.556408,2.202917827776375e-10,1318256738.556408,2.230719559569129e-10,1318256738.556408,2.175824044434665e-10
2187761623.949554,1.345783678024709e-10,2187761623.949554,1.345783678024709e-10,2187761623.949554,1.345783678024709e-10,2187761623.949554,1.363371234578859e-10,2187761623.949554,1.328717334090804e-10
3630780547.701016,8.16315687733403e-11,3630780547.701016,8.16315687733403e-11,3630780547.701016,8.16315687733403e-11,3630780547.701016,8.272279027264283e-11,3630780547.701016,8.057715770242927e-11
6025595860.743582,4.933121038846642e-11,6025595860.743582,4.933121038846642e-11,6025595860.743582,4.933121038846642e-11,6025595860.743582,4.999899473393261e-11,6025595860.743582,4.868774431656027e-11
10000000000,2.975930780487549e-11,10000000000,2.975930780487549e-11,10000000000,2.975930780487549e-11,10000000000,3.01644100948806e-11,10000000000,2.936947035516988e-11
