(VT("/net4") - VT("/net3")) X,(VT("/net4") - VT("/net3")) Y
2.010085972096971e-05,-0.0005167411646813669
2.010180886957131e-05,-0.0005164785288596097
2.010305653067845e-05,-0.0005161330523359986
2.010547869096792e-05,-0.0005154614485407549
2.010789794073691e-05,-0.0005147894280710386
2.011078942449288e-05,-0.0005139846294552886
2.011455667637181e-05,-0.0005129334619182746
2.01189467402146e-05,-0.000511704787495848
2.012558768508136e-05,-0.000509838546108865
2.013350088806906e-05,-0.0005076028691088919
2.014061126773499e-05,-0.0005055830073104062
2.014862737330519e-05,-0.0005032934190685179
2.015018771404491e-05,-0.0005028462186882354
2.015317141661018e-05,-0.0005019896931817147
2.015388547693582e-05,-0.0005017844400589944
2.01553135975871e-05,-0.0005013736223327125
2.01556545589902e-05,-0.0005012754788960017
2.015633648179639e-05,-0.00050107912107622
2.015670834733699e-05,-0.0005009720317050714
2.015713684862974e-05,-0.0005008485477924207
2.015746289788057e-05,-0.0005007545605939523
2.015772048461951e-05,-0.0005006803004259375
2.015799342067772e-05,-0.0005006016067150565
2.015832173491721e-05,-0.0005005069295460629
2.015878590674651e-05,-0.0005003730363408732
2.015913683550091e-05,-0.0005002717788444855
2.015947034749324e-05,-0.0005001755201914371
2.01596001889282e-05,-0.0005001380385638576
2.015972109268723e-05,-0.000500103133906693
2.015986958201422e-05,-0.0005000602614386729
2.015997539302969e-05,-0.0005000297086306116
2.016007752975119e-05,-0.0005000002147190763
2.016021643852202e-05,-0.0004999600989363806
2.016037347128811e-05,-0.0004999147445368113
2.01605004087064e-05,-0.0004998780787526247
2.01606311846092e-05,-0.0004998403008655838
2.016077723923942e-05,-0.0004997981052679012
2.016094700806749e-05,-0.0004997490531404303
2.016115510531003e-05,-0.0004996889185946429
2.016141993981039e-05,-0.0004996123757228244
2.016177169126965e-05,-0.0004995106898819657
2.016221948333289e-05,-0.0004993812038249779
2.016279979237252e-05,-0.0004992133379471131
2.016361147587752e-05,-0.0004989784280420295
2.016483377318889e-05,-0.0004986244304794329
2.016635570131242e-05,-0.0004981832323562863
2.016821680459853e-05,-0.0004976430729430881
2.017041718276834e-05,-0.0004970035414266771
2.017296457859346e-05,-0.0004962619310528993
2.017570572716673e-05,-0.0004954624548008102
2.017832760573995e-05,-0.0004946963508261071
2.018084178394171e-05,-0.0004939604202194303
2.018371538033192e-05,-0.0004931177318454605
2.018796937252557e-05,-0.0004918672070015617
2.019398468626278e-05,-0.0004900927544559952
2.02e-05,-0.0004883111065085988
2.020085971442362e-05,-0.0004880558206206143
2.020177330639231e-05,-0.0004877844036288437
2.020301147718659e-05,-0.000487416335423152
2.02050127645765e-05,-0.0004868207937334113
2.020901533935633e-05,-0.0004856273385811516
2.02160390622193e-05,-0.0004835254464097272
2.022681912206488e-05,-0.0004802806521706504
2.024669736687846e-05,-0.0004742381333606716
2.028645385650563e-05,-0.0004619268134864463
2.036596683575997e-05,-0.0004364307806630219
2.050234726104133e-05,-0.0003901696670221
2.070125132179759e-05,-0.00031764124335254
2.1013881640318e-05,-0.0001942673964085984
2.1513881640318e-05,1.506454757849163e-05
2.2013881640318e-05,0.0002221286508832243
2.251388164031799e-05,0.0004077478254935762
2.301388164031799e-05,0.0005540210512702259
2.351388164031799e-05,0.0006466251661967348
2.401388164031799e-05,0.0006764123186617788
2.451388164031799e-05,0.000640372324621552
2.501388164031799e-05,0.0005419481377115787
2.551388164031799e-05,0.0003907035387498148
2.601388164031799e-05,0.0002013864004288823
2.651388164031798e-05,-7.516949762420566e-06
2.701388164031798e-05,-0.0002155934556857808
2.751388164031798e-05,-0.0004025034106160952
2.801388164031798e-05,-0.0005499730253464286
2.851388164031798e-05,-0.0006435844615915176
2.901388164031798e-05,-0.0006741881577285724
2.951388164031798e-05,-0.0006387992473126936
3e-05,-0.0005443335021755313
3.000005818971711e-05,-0.0005443186445739379
3.000010196841162e-05,-0.00054430746767542
3.000018952580064e-05,-0.0005442851159696005
3.000036464057868e-05,-0.0005442404124080813
3.000066710088088e-05,-0.0005441631849236739
3.00011732899362e-05,-0.0005440338886071316
3.000218566804683e-05,-0.000543775122911816
3.000421042426809e-05,-0.0005432569277215027
3.000825993671061e-05,-0.0005422178450267268
3.001464301223287e-05,-0.0005405726775722375
3.00242669784589e-05,-0.0005380753675665595
3.002669199539197e-05,-0.0005374429160300842
3.003014568586662e-05,-0.0005365399677879079
3.003313018976506e-05,-0.0005357576025986077
3.00356904141037e-05,-0.0005350849182366169
3.003827766924825e-05,-0.0005344036888110804
3.003967733654672e-05,-0.0005340345518993761
3.004105697882303e-05,-0.0005336702764959789
3.004171786435731e-05,-0.0005334956354055009
3.004241116985205e-05,-0.0005333123248412175
3.004275043662347e-05,-0.0005332225846166327
3.004310417553271e-05,-0.0005331289899506153
3.004340130719985e-05,-0.0005330503519567209
3.004366941090257e-05,-0.0005329793800481486
