output noise; V / sqrt(Hz) (modelFiles=nom) X,output noise; V / sqrt(Hz) (modelFiles=nom) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:fs) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:fs) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:sf) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:sf) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ff) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ff) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ss) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ss) Y
63095734.44801937,4.936720045529012e-09,63095734.44801937,4.936720045529012e-09,63095734.44801937,4.936720045529012e-09,63095734.44801937,4.996839201431991e-09,63095734.44801937,4.9212890556515e-09
104712854.80509,2.777077872345414e-09,104712854.80509,2.777077872345414e-09,104712854.80509,2.777077872345414e-09,104712854.80509,2.819122114398006e-09,104712854.80509,2.747670137602532e-09
173780082.8749377,1.370091262421237e-09,173780082.8749377,1.370091262421237e-09,173780082.8749377,1.370091262421237e-09,173780082.8749377,1.38845100400518e-09,173780082.8749377,1.353019192479996e-09
288403150.3126608,6.32663727517608e-10,288403150.3126608,6.32663727517608e-10,288403150.3126608,6.32663727517608e-10,288403150.3126608,6.391697162886197e-10,288403150.3126608,6.257003977714229e-10
478630092.3226386,3.067478169284349e-10,478630092.3226386,3.067478169284349e-10,478630092.3226386,3.067478169284349e-10,478630092.3226386,3.092421460898906e-10,478630092.3226386,3.040607249737229e-10
794328234.724282,1.638671097957809e-10,794328234.724282,1.638671097957809e-10,794328234.724282,1.638671097957809e-10,794328234.724282,1.650164901083292e-10,794328234.724282,1.626549794343947e-10
1318256738.556408,9.405768710127579e-11,1318256738.556408,9.405768710127579e-11,1318256738.556408,9.405768710127579e-11,1318256738.556408,9.466678751155043e-11,1318256738.556408,9.334796597098563e-11
2187761623.949554,5.599063693321297e-11,2187761623.949554,5.599063693321297e-11,2187761623.949554,5.599063693321297e-11,2187761623.949554,5.640034546680939e-11,2187761623.949554,5.542731489979596e-11
3630780547.701016,3.377509397012025e-11,3630780547.701016,3.377509397012025e-11,3630780547.701016,3.377509397012025e-11,3630780547.701016,3.413409099937223e-11,3630780547.701016,3.331044098042329e-11
6025595860.743582,2.041068417053111e-11,6025595860.743582,2.041068417053111e-11,6025595860.743582,2.041068417053111e-11,6025595860.743582,2.070896157595522e-11,6025595860.743582,2.00779793445237e-11
10000000000,1.231994347463588e-11,10000000000,1.231994347463588e-11,10000000000,1.231994347463588e-11,10000000000,1.253139261375421e-11,10000000000,1.210514467852668e-11
