v /net10; tran (V) (modelFiles=nom) X,v /net10; tran (V) (modelFiles=nom) Y,v /net10; tran (V) (modelFiles=spectre.scs:fs) X,v /net10; tran (V) (modelFiles=spectre.scs:fs) Y,v /net10; tran (V) (modelFiles=spectre.scs:sf) X,v /net10; tran (V) (modelFiles=spectre.scs:sf) Y,v /net10; tran (V) (modelFiles=spectre.scs:ss) X,v /net10; tran (V) (modelFiles=spectre.scs:ss) Y
9.910000000000005e-07,1.655380308123037,9.910000000000005e-07,1.655380308123037,9.910000000000005e-07,1.655380308123037,9.910000000000005e-07,1.655388190953612
1.021e-06,1.655380309316824,1.021e-06,1.655380309316824,1.021e-06,1.655380309316824,1.021e-06,1.65538819214416
1.051e-06,1.655380310190653,1.051e-06,1.655380310190653,1.051e-06,1.655380310190653,1.051e-06,1.655388193015556
1.081e-06,1.655380310830277,1.081e-06,1.655380310830277,1.081e-06,1.655380310830277,1.081e-06,1.655388193653355
1.111e-06,1.655380311298469,1.111e-06,1.655380311298469,1.111e-06,1.655380311298469,1.111e-06,1.655388194120178
1.141e-06,1.655380311641176,1.141e-06,1.655380311641176,1.141e-06,1.655380311641176,1.141e-06,1.655388194461859
1.171e-06,1.655380311892031,1.171e-06,1.655380311892031,1.171e-06,1.655380311892031,1.171e-06,1.655388194711945
1.201e-06,1.655380312075651,1.201e-06,1.655380312075651,1.201e-06,1.655380312075651,1.201e-06,1.65538819489499
1.231e-06,1.655380312210057,1.231e-06,1.655380312210057,1.231e-06,1.655380312210057,1.231e-06,1.655388195028966
1.261e-06,1.65538031230844,1.261e-06,1.65538031230844,1.261e-06,1.65538031230844,1.261e-06,1.655388195127027
1.291e-06,1.655380312380454,1.291e-06,1.655380312380454,1.291e-06,1.655380312380454,1.291e-06,1.6553881951988
1.321e-06,1.655380312433167,1.321e-06,1.655380312433167,1.321e-06,1.655380312433167,1.321e-06,1.655388195251333
1.351e-06,1.655380312471752,1.351e-06,1.655380312471752,1.351e-06,1.655380312471752,1.351e-06,1.655388195289784
1.381e-06,1.655380312499995,1.381e-06,1.655380312499995,1.381e-06,1.655380312499995,1.381e-06,1.655388195317927
1.410999999999999e-06,1.655380312520669,1.410999999999999e-06,1.655380312520669,1.410999999999999e-06,1.655380312520669,1.410999999999999e-06,1.655388195338525
1.440999999999999e-06,1.655380312535801,1.440999999999999e-06,1.655380312535801,1.440999999999999e-06,1.655380312535801,1.440999999999999e-06,1.655388195353602
1.470999999999999e-06,1.655380312546878,1.470999999999999e-06,1.655380312546878,1.470999999999999e-06,1.655380312546878,1.470999999999999e-06,1.655388195364637
1.500999999999999e-06,1.655380312554986,1.500999999999999e-06,1.655380312554986,1.500999999999999e-06,1.655380312554986,1.500999999999999e-06,1.655388195372714
1.530999999999999e-06,1.655380312560921,1.530999999999999e-06,1.655380312560921,1.530999999999999e-06,1.655380312560921,1.530999999999999e-06,1.655388195378626
1.560999999999999e-06,1.655380312565265,1.560999999999999e-06,1.655380312565265,1.560999999999999e-06,1.655380312565265,1.560999999999999e-06,1.655388195382953
1.590999999999999e-06,1.655380312568445,1.590999999999999e-06,1.655380312568445,1.590999999999999e-06,1.655380312568445,1.590999999999999e-06,1.65538819538612
1.620999999999999e-06,1.655380312570772,1.620999999999999e-06,1.655380312570772,1.620999999999999e-06,1.655380312570772,1.620999999999999e-06,1.655388195388438
1.650999999999999e-06,1.655380312572476,1.650999999999999e-06,1.655380312572476,1.650999999999999e-06,1.655380312572476,1.650999999999999e-06,1.655388195390134
1.680999999999999e-06,1.655380312573723,1.680999999999999e-06,1.655380312573723,1.680999999999999e-06,1.655380312573723,1.680999999999999e-06,1.655388195391376
1.710999999999999e-06,1.655380312574636,1.710999999999999e-06,1.655380312574636,1.710999999999999e-06,1.655380312574636,1.710999999999999e-06,1.655388195392285
1.740999999999999e-06,1.655380312575304,1.740999999999999e-06,1.655380312575304,1.740999999999999e-06,1.655380312575304,1.740999999999999e-06,1.65538819539295
1.770999999999999e-06,1.655380312575793,1.770999999999999e-06,1.655380312575793,1.770999999999999e-06,1.655380312575793,1.770999999999999e-06,1.655388195393437
1.800999999999999e-06,1.655380312576151,1.800999999999999e-06,1.655380312576151,1.800999999999999e-06,1.655380312576151,1.800999999999999e-06,1.655388195393794
1.830999999999998e-06,1.655380312576413,1.830999999999998e-06,1.655380312576413,1.830999999999998e-06,1.655380312576413,1.830999999999998e-06,1.655388195394055
1.860999999999998e-06,1.655380312576605,1.860999999999998e-06,1.655380312576605,1.860999999999998e-06,1.655380312576605,1.860999999999998e-06,1.655388195394246
1.890999999999998e-06,1.655380312576746,1.890999999999998e-06,1.655380312576746,1.890999999999998e-06,1.655380312576746,1.890999999999998e-06,1.655388195394385
1.920999999999998e-06,1.655380312576849,1.920999999999998e-06,1.655380312576849,1.920999999999998e-06,1.655380312576849,1.920999999999998e-06,1.655388195394488
1.950999999999998e-06,1.655380312576924,1.950999999999998e-06,1.655380312576924,1.950999999999998e-06,1.655380312576924,1.950999999999998e-06,1.655388195394562
1.980999999999998e-06,1.655380312576979,1.980999999999998e-06,1.655380312576979,1.980999999999998e-06,1.655380312576979,1.980999999999998e-06,1.655388195394617
2.010999999999999e-06,1.655380312577019,2.010999999999999e-06,1.655380312577019,2.010999999999999e-06,1.655380312577019,2.010999999999999e-06,1.655388195394657
2.040999999999999e-06,1.655380312577049,2.040999999999999e-06,1.655380312577049,2.040999999999999e-06,1.655380312577049,2.040999999999999e-06,1.655388195394686
2.070999999999999e-06,1.65538031257707,2.070999999999999e-06,1.65538031257707,2.070999999999999e-06,1.65538031257707,2.070999999999999e-06,1.655388195394708
2.100999999999999e-06,1.655380312577086,2.100999999999999e-06,1.655380312577086,2.100999999999999e-06,1.655380312577086,2.100999999999999e-06,1.655388195394724
2.130999999999999e-06,1.655380312577098,2.130999999999999e-06,1.655380312577098,2.130999999999999e-06,1.655380312577098,2.130999999999999e-06,1.655388195394735
2.160999999999999e-06,1.655380312577106,2.160999999999999e-06,1.655380312577106,2.160999999999999e-06,1.655380312577106,2.160999999999999e-06,1.655388195394744
2.190999999999999e-06,1.655380312577112,2.190999999999999e-06,1.655380312577112,2.190999999999999e-06,1.655380312577112,2.190999999999999e-06,1.65538819539475
2.221e-06,1.655380312577117,2.221e-06,1.655380312577117,2.221e-06,1.655380312577117,2.221e-06,1.655388195394754
2.251e-06,1.65538031257712,2.251e-06,1.65538031257712,2.251e-06,1.65538031257712,2.251e-06,1.655388195394758
2.281e-06,1.655380312577123,2.281e-06,1.655380312577123,2.281e-06,1.655380312577123,2.281e-06,1.65538819539476
2.311e-06,1.655380312577125,2.311e-06,1.655380312577125,2.311e-06,1.655380312577125,2.311e-06,1.655388195394762
2.341e-06,1.655380312577126,2.341e-06,1.655380312577126,2.341e-06,1.655380312577126,2.341e-06,1.655388195394763
2.371e-06,1.655380312577127,2.371e-06,1.655380312577127,2.371e-06,1.655380312577127,2.371e-06,1.655388195394764
2.401e-06,1.655380312577127,2.401e-06,1.655380312577127,2.401e-06,1.655380312577127,2.401e-06,1.655388195394765
2.431000000000001e-06,1.655380312577128,2.431000000000001e-06,1.655380312577128,2.431000000000001e-06,1.655380312577128,2.431000000000001e-06,1.655388195394765
2.461000000000001e-06,1.655380312577128,2.461000000000001e-06,1.655380312577128,2.461000000000001e-06,1.655380312577128,2.461000000000001e-06,1.655388195394766
2.491000000000001e-06,1.655380312577129,2.491000000000001e-06,1.655380312577129,2.491000000000001e-06,1.655380312577129,2.491000000000001e-06,1.655388195394766
2.521000000000001e-06,1.655380312577129,2.521000000000001e-06,1.655380312577129,2.521000000000001e-06,1.655380312577129,2.521000000000001e-06,1.655388195394766
2.551000000000001e-06,1.655380312577129,2.551000000000001e-06,1.655380312577129,2.551000000000001e-06,1.655380312577129,2.551000000000001e-06,1.655388195394766
2.581000000000001e-06,1.655380312577129,2.581000000000001e-06,1.655380312577129,2.581000000000001e-06,1.655380312577129,2.581000000000001e-06,1.655388195394766
2.611000000000001e-06,1.655380312577129,2.611000000000001e-06,1.655380312577129,2.611000000000001e-06,1.655380312577129,2.611000000000001e-06,1.655388195394766
2.641000000000001e-06,1.655380312577129,2.641000000000001e-06,1.655380312577129,2.641000000000001e-06,1.655380312577129,2.641000000000001e-06,1.655388195394766
2.671000000000002e-06,1.655380312577129,2.671000000000002e-06,1.655380312577129,2.671000000000002e-06,1.655380312577129,2.671000000000002e-06,1.655388195394766
2.701000000000002e-06,1.655380312577129,2.701000000000002e-06,1.655380312577129,2.701000000000002e-06,1.655380312577129,2.701000000000002e-06,1.655388195394766
2.731000000000002e-06,1.655380312577129,2.731000000000002e-06,1.655380312577129,2.731000000000002e-06,1.655380312577129,2.731000000000002e-06,1.655388195394766
2.761000000000002e-06,1.655380312577129,2.761000000000002e-06,1.655380312577129,2.761000000000002e-06,1.655380312577129,2.761000000000002e-06,1.655388195394766
2.791000000000002e-06,1.655380312577129,2.791000000000002e-06,1.655380312577129,2.791000000000002e-06,1.655380312577129,2.791000000000002e-06,1.655388195394766
2.821000000000002e-06,1.655380312577129,2.821000000000002e-06,1.655380312577129,2.821000000000002e-06,1.655380312577129,2.821000000000002e-06,1.655388195394766
2.851000000000002e-06,1.655380312577129,2.851000000000002e-06,1.655380312577129,2.851000000000002e-06,1.655380312577129,2.851000000000002e-06,1.655388195394766
2.881000000000003e-06,1.655380312577129,2.881000000000003e-06,1.655380312577129,2.881000000000003e-06,1.655380312577129,2.881000000000003e-06,1.655388195394766
2.911000000000003e-06,1.655380312577129,2.911000000000003e-06,1.655380312577129,2.911000000000003e-06,1.655380312577129,2.911000000000003e-06,1.655388195394766
2.941000000000003e-06,1.655380312577129,2.941000000000003e-06,1.655380312577129,2.941000000000003e-06,1.655380312577129,2.941000000000003e-06,1.655388195394766
2.971000000000003e-06,1.655380312577129,2.971000000000003e-06,1.655380312577129,2.971000000000003e-06,1.655380312577129,2.971000000000003e-06,1.655388195394766
3e-06,1.655380312577129,3e-06,1.655380312577129,3e-06,1.655380312577129,3e-06,1.655388195394766
